Data,Vacinados
23/01/2021 09:10,110338
23/01/2021 09:15,110564
23/01/2021 09:15,110564
23/01/2021 09:25,110789
23/01/2021 09:30,111138
23/01/2021 09:35,111344
23/01/2021 09:35,111344
23/01/2021 09:40,111575
23/01/2021 09:50,112018
23/01/2021 09:55,112212
23/01/2021 09:55,112212
23/01/2021 10:05,112659
23/01/2021 10:10,112839
23/01/2021 10:15,112999
23/01/2021 10:15,112999
23/01/2021 10:25,113473
23/01/2021 10:30,113681
23/01/2021 10:35,113873
23/01/2021 10:35,113873
23/01/2021 10:40,114064
23/01/2021 10:50,114410
23/01/2021 10:55,114620
23/01/2021 11:05,114964
23/01/2021 11:10,115063
23/01/2021 11:15,115314
23/01/2021 11:15,115314
23/01/2021 11:25,115682
23/01/2021 11:30,115837
23/01/2021 11:35,115865
23/01/2021 11:35,115865
23/01/2021 11:40,116134
23/01/2021 11:50,116409
23/01/2021 11:55,116548
23/01/2021 11:55,116548
23/01/2021 12:05,116826
23/01/2021 12:10,116952
23/01/2021 12:15,117103
23/01/2021 12:15,117103
23/01/2021 12:25,117335
23/01/2021 12:30,117390
23/01/2021 12:35,117524
23/01/2021 12:35,117524
23/01/2021 12:40,117658
23/01/2021 12:50,117823
23/01/2021 12:50,117823
23/01/2021 12:50,117823
23/01/2021 13:05,118068
23/01/2021 13:10,118139
23/01/2021 13:15,118200
23/01/2021 13:20,118312
23/01/2021 13:25,118369
23/01/2021 13:30,118446
23/01/2021 13:30,118446
23/01/2021 13:30,118446
23/01/2021 13:40,118627
23/01/2021 13:50,118768
23/01/2021 13:50,118768
23/01/2021 14:00,118875
23/01/2021 14:05,118968
23/01/2021 14:10,119104
23/01/2021 14:15,119175
23/01/2021 14:15,119175
23/01/2021 14:25,119314
23/01/2021 14:30,119367
23/01/2021 14:35,119453
23/01/2021 14:40,119527
23/01/2021 14:40,119527
23/01/2021 14:50,119687
23/01/2021 14:55,119776
23/01/2021 15:05,119916
23/01/2021 15:05,119916
23/01/2021 15:10,119966
23/01/2021 15:15,120070
23/01/2021 15:20,120144
23/01/2021 15:20,120144
23/01/2021 15:30,120252
23/01/2021 15:35,120374
23/01/2021 15:40,120451
23/01/2021 15:40,120451
23/01/2021 15:50,120642
23/01/2021 15:55,120713
23/01/2021 16:05,120893
23/01/2021 16:05,120893
23/01/2021 16:10,120970
23/01/2021 16:20,121135
23/01/2021 16:20,121135
23/01/2021 16:25,121225
23/01/2021 16:30,121276
23/01/2021 16:30,121276
23/01/2021 16:40,121466
23/01/2021 16:50,121615
23/01/2021 16:50,121615
23/01/2021 16:55,121715
23/01/2021 17:05,121863
23/01/2021 17:05,121863
23/01/2021 17:10,121959
23/01/2021 17:15,122003
23/01/2021 17:20,122091
23/01/2021 17:20,122091
23/01/2021 17:30,122206
23/01/2021 17:35,122260
23/01/2021 17:40,122319
23/01/2021 17:45,122376
23/01/2021 17:50,122430
23/01/2021 17:55,122480
23/01/2021 18:05,122614
23/01/2021 18:05,122614
23/01/2021 18:10,122665
23/01/2021 18:15,122703
23/01/2021 18:25,122838
23/01/2021 18:25,122838
23/01/2021 18:30,122892
23/01/2021 18:40,123025
23/01/2021 18:40,123025
23/01/2021 18:50,123100
23/01/2021 18:55,123219
23/01/2021 19:05,123350
23/01/2021 19:05,123350
23/01/2021 19:10,123372
23/01/2021 19:15,123437
23/01/2021 19:25,123559
23/01/2021 19:25,123559
23/01/2021 19:30,123623
23/01/2021 19:35,123634
23/01/2021 19:40,123726
23/01/2021 19:40,123726
23/01/2021 19:50,123813
23/01/2021 19:55,123850
23/01/2021 20:05,123925
23/01/2021 20:05,123925
23/01/2021 20:10,123956
23/01/2021 20:15,124002
23/01/2021 20:25,124049
23/01/2021 20:25,124049
23/01/2021 20:30,124067
23/01/2021 20:35,124096
23/01/2021 20:40,124128
23/01/2021 20:40,124128
23/01/2021 20:50,124179
23/01/2021 20:55,124200
23/01/2021 21:05,124233
23/01/2021 21:05,124233
23/01/2021 21:10,124251
23/01/2021 21:10,124251
23/01/2021 21:20,124287
23/01/2021 21:20,124287
23/01/2021 21:30,124325
23/01/2021 21:35,124335
23/01/2021 21:40,124344
23/01/2021 21:40,124344
23/01/2021 21:50,124361
23/01/2021 21:55,124369
23/01/2021 22:05,124392
23/01/2021 22:05,124392
23/01/2021 22:10,124400
23/01/2021 22:15,124404
23/01/2021 22:25,124417
23/01/2021 22:25,124417
23/01/2021 22:30,124422
23/01/2021 22:35,124426
23/01/2021 22:40,124431
23/01/2021 22:40,124431
23/01/2021 22:50,124438
23/01/2021 22:55,124441
23/01/2021 23:05,124450
23/01/2021 23:05,124450
23/01/2021 23:15,124456
23/01/2021 23:25,124465
23/01/2021 23:25,124465
23/01/2021 23:30,124469
23/01/2021 23:35,124471
23/01/2021 23:40,124478
23/01/2021 23:40,124478
23/01/2021 23:50,124483
23/01/2021 23:50,124483
24/01/2021 00:05,124496
24/01/2021 00:05,124496
24/01/2021 00:10,124501
24/01/2021 00:15,124502
24/01/2021 00:25,124511
24/01/2021 00:25,124511
24/01/2021 00:30,124514
24/01/2021 00:35,124516
24/01/2021 00:40,124518
24/01/2021 00:40,124518
24/01/2021 00:50,124523
24/01/2021 00:55,124525
24/01/2021 01:00,124528
24/01/2021 01:00,124528
24/01/2021 01:10,124532
24/01/2021 01:15,124534
24/01/2021 01:25,124543
24/01/2021 01:25,124543
24/01/2021 01:30,124547
24/01/2021 01:35,124551
24/01/2021 01:40,124555
24/01/2021 01:40,124555
24/01/2021 01:50,124560
24/01/2021 01:50,124560
24/01/2021 02:05,124566
24/01/2021 02:05,124566
24/01/2021 02:10,124568
24/01/2021 02:15,124570
24/01/2021 02:20,124571
24/01/2021 02:20,124571
24/01/2021 02:30,124574
24/01/2021 02:40,124578
24/01/2021 02:40,124578
24/01/2021 02:40,124578
24/01/2021 02:50,124582
24/01/2021 02:55,124584
24/01/2021 03:05,124588
24/01/2021 03:05,124588
24/01/2021 03:10,124595
24/01/2021 03:15,124598
24/01/2021 03:20,124602
24/01/2021 03:20,124602
24/01/2021 03:25,124604
24/01/2021 03:35,124605
24/01/2021 03:40,124606
24/01/2021 03:40,124606
24/01/2021 03:50,124608
24/01/2021 03:55,124610
24/01/2021 04:05,124613
24/01/2021 04:05,124613
24/01/2021 04:10,124615
24/01/2021 04:10,124615
24/01/2021 04:20,124617
24/01/2021 04:20,124617
24/01/2021 04:30,124620
24/01/2021 04:35,124622
24/01/2021 04:40,124623
24/01/2021 04:40,124623
24/01/2021 04:50,124629
24/01/2021 04:55,124632
24/01/2021 05:00,124635
24/01/2021 05:00,124635
24/01/2021 05:10,124641
24/01/2021 05:15,124643
24/01/2021 05:15,124643
24/01/2021 05:15,124643
24/01/2021 05:25,124646
24/01/2021 05:35,124650
24/01/2021 05:40,124651
24/01/2021 05:50,124660
24/01/2021 05:55,124662
24/01/2021 06:00,124665
24/01/2021 06:00,124665
24/01/2021 06:10,124673
24/01/2021 06:15,124679
24/01/2021 06:25,124684
24/01/2021 06:25,124684
