Data,Vacinados,Delta
2021-01-23 11:15:00,115314,251.0
2021-01-23 11:25:00,115682,368.0
2021-01-23 11:30:00,115837,155.0
2021-01-23 11:35:00,115865,28.0
2021-01-23 11:40:00,116134,269.0
2021-01-23 11:50:00,116409,275.0
2021-01-23 11:55:00,116548,139.0
2021-01-23 12:05:00,116826,278.0
2021-01-23 12:10:00,116952,126.0
2021-01-23 12:15:00,117103,151.0
2021-01-23 12:25:00,117335,232.0
2021-01-23 12:30:00,117390,55.0
2021-01-23 12:35:00,117524,134.0
2021-01-23 12:40:00,117658,134.0
2021-01-23 12:50:00,117823,165.0
2021-01-23 13:05:00,118068,245.0
2021-01-23 13:10:00,118139,71.0
2021-01-23 13:15:00,118200,61.0
2021-01-23 13:20:00,118312,112.0
2021-01-23 13:25:00,118369,57.0
2021-01-23 13:30:00,118446,77.0
2021-01-23 13:40:00,118627,181.0
2021-01-23 13:50:00,118768,141.0
2021-01-23 14:00:00,118875,107.0
2021-01-23 14:05:00,118968,93.0
2021-01-23 14:10:00,119104,136.0
2021-01-23 14:15:00,119175,71.0
2021-01-23 14:25:00,119314,139.0
2021-01-23 14:30:00,119367,53.0
2021-01-23 14:35:00,119453,86.0
2021-01-23 14:40:00,119527,74.0
2021-01-23 14:50:00,119687,160.0
2021-01-23 14:55:00,119776,89.0
2021-01-23 15:05:00,119916,140.0
2021-01-23 15:10:00,119966,50.0
2021-01-23 15:15:00,120070,104.0
2021-01-23 15:20:00,120144,74.0
2021-01-23 15:30:00,120252,108.0
2021-01-23 15:35:00,120374,122.0
2021-01-23 15:40:00,120451,77.0
2021-01-23 15:50:00,120642,191.0
2021-01-23 15:55:00,120713,71.0
2021-01-23 16:05:00,120893,180.0
2021-01-23 16:10:00,120970,77.0
2021-01-23 16:20:00,121135,165.0
2021-01-23 16:25:00,121225,90.0
2021-01-23 16:30:00,121276,51.0
2021-01-23 16:40:00,121466,190.0
2021-01-23 16:50:00,121615,149.0
2021-01-23 16:55:00,121715,100.0
2021-01-23 17:05:00,121863,148.0
2021-01-23 17:10:00,121959,96.0
2021-01-23 17:15:00,122003,44.0
2021-01-23 17:20:00,122091,88.0
2021-01-23 17:30:00,122206,115.0
2021-01-23 17:35:00,122260,54.0
2021-01-23 17:40:00,122319,59.0
2021-01-23 17:45:00,122376,57.0
2021-01-23 17:50:00,122430,54.0
2021-01-23 17:55:00,122480,50.0
2021-01-23 18:05:00,122614,134.0
2021-01-23 18:10:00,122665,51.0
2021-01-23 18:15:00,122703,38.0
2021-01-23 18:25:00,122838,135.0
2021-01-23 18:30:00,122892,54.0
2021-01-23 18:40:00,123025,133.0
2021-01-23 18:50:00,123100,75.0
2021-01-23 18:55:00,123219,119.0
2021-01-23 19:05:00,123350,131.0
2021-01-23 19:10:00,123372,22.0
2021-01-23 19:15:00,123437,65.0
2021-01-23 19:25:00,123559,122.0
2021-01-23 19:30:00,123623,64.0
2021-01-23 19:35:00,123634,11.0
2021-01-23 19:40:00,123726,92.0
2021-01-23 19:50:00,123813,87.0
2021-01-23 19:55:00,123850,37.0
2021-01-23 20:05:00,123925,75.0
2021-01-23 20:10:00,123956,31.0
2021-01-23 20:15:00,124002,46.0
2021-01-23 20:25:00,124049,47.0
2021-01-23 20:30:00,124067,18.0
2021-01-23 20:35:00,124096,29.0
2021-01-23 20:40:00,124128,32.0
2021-01-23 20:50:00,124179,51.0
2021-01-23 20:55:00,124200,21.0
2021-01-23 21:05:00,124233,33.0
2021-01-23 21:10:00,124251,18.0
2021-01-23 21:20:00,124287,36.0
2021-01-23 21:30:00,124325,38.0
2021-01-23 21:35:00,124335,10.0
2021-01-23 21:40:00,124344,9.0
2021-01-23 21:50:00,124361,17.0
2021-01-23 21:55:00,124369,8.0
2021-01-23 22:05:00,124392,23.0
2021-01-23 22:10:00,124400,8.0
2021-01-23 22:15:00,124404,4.0
2021-01-23 22:25:00,124417,13.0
2021-01-23 22:30:00,124422,5.0
2021-01-23 22:35:00,124426,4.0
2021-01-23 22:40:00,124431,5.0
2021-01-23 22:50:00,124438,7.0
2021-01-23 22:55:00,124441,3.0
2021-01-23 23:05:00,124450,9.0
2021-01-23 23:15:00,124456,6.0
2021-01-23 23:25:00,124465,9.0
2021-01-23 23:30:00,124469,4.0
2021-01-23 23:35:00,124471,2.0
2021-01-23 23:40:00,124478,7.0
2021-01-23 23:50:00,124483,5.0
2021-01-24 00:05:00,124496,13.0
2021-01-24 00:10:00,124501,5.0
2021-01-24 00:15:00,124502,1.0
2021-01-24 00:25:00,124511,9.0
2021-01-24 00:30:00,124514,3.0
2021-01-24 00:35:00,124516,2.0
2021-01-24 00:40:00,124518,2.0
2021-01-24 00:50:00,124523,5.0
2021-01-24 00:55:00,124525,2.0
2021-01-24 01:00:00,124528,3.0
2021-01-24 01:10:00,124532,4.0
2021-01-24 01:15:00,124534,2.0
2021-01-24 01:25:00,124543,9.0
2021-01-24 01:30:00,124547,4.0
2021-01-24 01:35:00,124551,4.0
2021-01-24 01:40:00,124555,4.0
2021-01-24 01:50:00,124560,5.0
2021-01-24 02:05:00,124566,6.0
2021-01-24 02:10:00,124568,2.0
2021-01-24 02:15:00,124570,2.0
2021-01-24 02:20:00,124571,1.0
2021-01-24 02:30:00,124574,3.0
2021-01-24 02:40:00,124578,4.0
2021-01-24 02:50:00,124582,4.0
2021-01-24 02:55:00,124584,2.0
2021-01-24 03:05:00,124588,4.0
2021-01-24 03:10:00,124595,7.0
2021-01-24 03:15:00,124598,3.0
2021-01-24 03:20:00,124602,4.0
2021-01-24 03:25:00,124604,2.0
2021-01-24 03:35:00,124605,1.0
2021-01-24 03:40:00,124606,1.0
2021-01-24 03:50:00,124608,2.0
2021-01-24 03:55:00,124610,2.0
2021-01-24 04:05:00,124613,3.0
2021-01-24 04:10:00,124615,2.0
2021-01-24 04:20:00,124617,2.0
2021-01-24 04:30:00,124620,3.0
2021-01-24 04:35:00,124622,2.0
2021-01-24 04:40:00,124623,1.0
2021-01-24 04:50:00,124629,6.0
2021-01-24 04:55:00,124632,3.0
2021-01-24 05:00:00,124635,3.0
2021-01-24 05:10:00,124641,6.0
2021-01-24 05:15:00,124643,2.0
2021-01-24 05:25:00,124646,3.0
2021-01-24 05:35:00,124650,4.0
2021-01-24 05:40:00,124651,1.0
2021-01-24 05:50:00,124660,9.0
2021-01-24 05:55:00,124662,2.0
2021-01-24 06:00:00,124665,3.0
2021-01-24 06:10:00,124673,8.0
2021-01-24 06:15:00,124679,6.0
2021-01-24 06:25:00,124684,5.0
2021-01-24 06:30:00,124691,7.0
2021-01-24 06:40:00,124697,6.0
2021-01-24 06:50:00,124705,8.0
2021-01-24 06:55:00,124707,2.0
2021-01-24 07:05:00,124712,5.0
2021-01-24 07:10:00,124715,3.0
2021-01-24 07:15:00,124720,5.0
2021-01-24 07:20:00,124724,4.0
2021-01-24 07:30:00,124756,32.0
2021-01-24 07:35:00,124773,17.0
2021-01-24 07:45:00,124822,49.0
2021-01-24 07:50:00,124859,37.0
2021-01-24 07:55:00,124894,35.0
2021-01-24 08:05:00,124946,52.0
2021-01-24 08:10:00,124968,22.0
2021-01-24 08:15:00,124990,22.0
2021-01-24 08:20:00,125011,21.0
2021-01-24 08:30:00,125073,62.0
2021-01-24 08:35:00,125101,28.0
2021-01-24 08:40:00,125137,36.0
2021-01-24 08:50:00,125203,66.0
2021-01-24 08:55:00,125274,71.0
2021-01-24 09:00:00,125326,52.0
2021-01-24 09:05:00,125373,47.0
2021-01-24 09:10:00,125420,47.0
2021-01-24 09:15:00,125476,56.0
2021-01-24 09:25:00,125580,104.0
2021-01-24 09:30:00,125633,53.0
2021-01-24 09:35:00,125681,48.0
2021-01-24 09:40:00,125731,50.0
2021-01-24 09:50:00,125838,107.0
2021-01-24 09:55:00,125887,49.0
2021-01-24 10:05:00,125972,85.0
2021-01-24 10:10:00,126025,53.0
2021-01-24 10:15:00,126075,50.0
2021-01-24 10:20:00,126121,46.0
2021-01-24 13:10:00,127630,1509.0
2021-01-24 13:15:00,127670,40.0
2021-01-24 13:20:00,127712,42.0
2021-01-24 13:25:00,127750,38.0
2021-01-24 13:35:00,127814,64.0
2021-01-24 13:40:00,127881,67.0
2021-01-24 13:50:00,127947,66.0
2021-01-24 13:55:00,127988,41.0
2021-01-24 14:05:00,128074,86.0
2021-01-24 14:10:00,128090,16.0
2021-01-24 14:15:00,128170,80.0
2021-01-24 14:25:00,128274,104.0
2021-01-24 14:35:00,128339,65.0
2021-01-24 14:50:00,128451,112.0
2021-01-24 14:55:00,128514,63.0
2021-01-24 15:05:00,128604,90.0
2021-01-24 15:10:00,128662,58.0
2021-01-24 15:15:00,128694,32.0
2021-01-24 15:25:00,128796,102.0
2021-01-24 15:30:00,128807,11.0
2021-01-24 15:35:00,128869,62.0
2021-01-24 15:40:00,128931,62.0
2021-01-24 15:45:00,128990,59.0
2021-01-24 15:55:00,129080,90.0
2021-01-24 16:05:00,129144,64.0
2021-01-24 16:10:00,129207,63.0
2021-01-24 16:20:00,129288,81.0
2021-01-24 16:25:00,129331,43.0
2021-01-24 16:30:00,129350,19.0
2021-01-24 16:35:00,129374,24.0
2021-01-24 16:40:00,129402,28.0
2021-01-24 16:50:00,129453,51.0
2021-01-24 16:55:00,129477,24.0
2021-01-24 17:05:00,129550,73.0
2021-01-24 17:10:00,129594,44.0
2021-01-24 17:15:00,129619,25.0
2021-01-24 17:25:00,129717,98.0
2021-01-24 17:30:00,129760,43.0
2021-01-24 17:35:00,129796,36.0
2021-01-24 17:40:00,129842,46.0
2021-01-24 17:55:00,129923,81.0
2021-01-24 18:00:00,129993,70.0
2021-01-24 18:05:00,130040,47.0
2021-01-24 18:10:00,130079,39.0
2021-01-24 18:15:00,130133,54.0
2021-01-24 18:25:00,130197,64.0
2021-01-24 18:30:00,130222,25.0
2021-01-24 18:35:00,130244,22.0
2021-01-24 18:40:00,130269,25.0
2021-01-24 18:50:00,130321,52.0
2021-01-24 18:55:00,130328,7.0
2021-01-24 19:05:00,130390,62.0
2021-01-24 19:10:00,130405,15.0
2021-01-24 19:15:00,130424,19.0
2021-01-24 19:25:00,130471,47.0
2021-01-24 19:30:00,130494,23.0
2021-01-24 19:35:00,130515,21.0
